codtime_1;agente_1_1;agente_1_2;agente_1_3;agente_1_4;agente_1_5;rounds_wintime1
1;Winter;Addison;Joel;Karyn;Ramona;18
2;Steven;Sigourney;Cally;Neil;Imogene;2
3;Hyatt;Guinevere;Zephr;Elton;Maryam;13
4;Ina;Hunter;Latifah;Heidi;Kevyn;17
5;Ila;Cade;Stuart;Alvin;India;12
6;Darius;Amber;Nathan;Barbara;Camille;3
7;Garrison;Adena;Hamilton;Jasmine;Hiroko;15
8;Winter;Carter;Ruby;Patience;Maggie;3
9;Kylynn;Sybil;Holmes;Owen;Josephine;17
10;Buckminster;Zia;Darius;Linus;Moana;7
11;Amery;Avram;Tobias;Charles;Leslie;6
12;Edward;Samson;Kato;Xena;Amber;11
13;Mohammad;Pearl;Gannon;Uma;Mikayla;5
14;Andrew;Nicholas;Allistair;Rebecca;Daryl;16
15;Peter;Aidan;Igor;Quemby;Amber;15
16;Sasha;Maggy;Walker;Astra;Kay;11
17;Zeph;Marcia;Grant;Shad;Ima;5
18;Prescott;Gary;Lavinia;Patrick;Helen;15
19;Rigel;Thane;Armand;Liberty;Belle;2
20;Ayanna;Brett;Jillian;Bree;MacKenzie;8
21;Violet;Hyatt;Marshall;Brandon;Melissa;14
22;Beck;Serina;Justin;Christopher;Naida;16
23;Chancellor;Rhonda;Dalton;Amethyst;Mallory;4
24;Berk;Christen;Caldwell;Kenneth;Octavia;1
25;Montana;Irene;Cameron;Piper;Audrey;15
26;Serina;Nayda;Maile;Charlotte;Kaden;10
27;Dane;Axel;Simone;Cherokee;Maite;9
28;Xander;TaShya;Carter;Mercedes;Jordan;17
29;Orson;Dane;Lev;Jason;Melinda;13
30;Ahmed;Melinda;Gavin;Emery;Kellie;11
31;Noah;Thomas;Sandra;Renee;Dahlia;18
32;Leigh;Jescie;Hamilton;Jamal;Sandra;7
33;Lara;Alden;Colette;Chantale;Whitney;10
34;Georgia;Vaughan;Amos;Gareth;Joelle;16
35;Yen;Barry;Sean;Drake;Alfreda;11
36;Lyle;Mufutau;Angela;Britanney;Ivana;10
37;Herman;Tara;Zachary;Carissa;Karly;7
38;Mercedes;Derek;Quintessa;Clark;Libby;11
39;Mannix;Wynne;Ross;Ishmael;Aretha;9
40;Wade;Uma;Nissim;Aubrey;Noelle;1
41;Addison;Jaquelyn;Gil;Dalton;Frances;1
42;Jana;Phyllis;Jasmine;Beatrice;Quynn;12
43;Sandra;Hedley;Branden;Gregory;Ruth;7
44;Raymond;Felix;Baker;Keely;Allegra;15
45;Nasim;Quinlan;Hoyt;Mary;Jordan;9
46;Vance;Gareth;Ursa;Colette;Dorothy;5
47;Orson;Keane;Oleg;Austin;Belle;7
48;Sylvia;Joel;Vance;Chase;Brielle;9
49;Quamar;Malik;Omar;Alice;Joy;18
50;Hall;Donovan;Judah;Jane;Casey;14
51;Aurora;Prescott;Eric;Daquan;Echo;11
52;Kennedy;Deacon;Sandra;Rigel;Maxine;3
53;Clayton;Abigail;Bruno;Melissa;Hermione;15
54;Ila;Ira;Gray;Hanae;Illana;12
55;Castor;Rigel;Honorato;Drake;Xantha;6
56;Calvin;Griffith;Nevada;Hiroko;Ella;1
57;Amela;Stephen;Blair;Nerea;Sheila;4
58;Willa;Eden;Teagan;Adara;MacKensie;3
59;Slade;Brent;Blaze;Brendan;Patricia;14
60;Ezekiel;Marvin;Colt;Tyler;Yolanda;11
61;Zeph;Colette;Kameko;Rudyard;Astra;4
62;Kirk;Whitney;Dalton;Ryan;Rebekah;5
63;Gage;Marsden;Rudyard;Brian;Linda;16
64;Brent;Rhiannon;Zephania;Lionel;Doris;16
65;Penelope;Kai;Amber;Jesse;Iola;2
66;Germaine;Lillith;Branden;Fulton;Deanna;15
67;Ciaran;Maryam;Sheila;Channing;Shana;18
68;Arsenio;Demetrius;Mia;Len;Chantale;10
69;Deirdre;Jacob;Stephen;Oliver;Basia;4
70;Uma;Lacy;Aretha;Lisandra;Sydney;16
71;Kaseem;Hollee;Cheryl;Grace;Quintessa;11
72;Matthew;Giselle;Rose;Xenos;Megan;3
73;Bevis;Medge;Leslie;Lamar;Genevieve;9
74;Herrod;Kenyon;Kelsie;Lee;Deanna;11
75;Reagan;Jason;Sarah;David;Madaline;11
76;Leigh;Kasimir;Ila;Melyssa;Shelby;3
77;Tanisha;David;Jescie;Kessie;Pandora;12
78;Zephania;Giselle;Reece;Astra;Elaine;3
79;Orla;Ainsley;Imani;Destiny;Heidi;3
80;Blair;Robin;Amanda;Violet;Quemby;18
81;Howard;Gary;Vladimir;Alden;Genevieve;4
82;Yolanda;Hunter;Galvin;Cadman;Zephr;18
83;Jamal;Xandra;Hilel;Xavier;Florence;9
84;Sydnee;Caldwell;Arden;Violet;Heidi;11
85;Georgia;Imogene;Lunea;Timon;Ila;14
86;Chelsea;Lael;Harlan;Declan;Kristen;18
87;Beck;August;Rashad;Jaquelyn;Carol;1
88;Lael;Scott;Vivien;Alexandra;Sharon;5
89;Doris;Leandra;Cruz;Madonna;Meredith;5
90;Elliott;Ariana;Astra;Alana;Robin;2
91;Quail;Evangeline;Gray;Harding;Darrel;15
92;Alexander;Oprah;Maxwell;Zephr;Basia;10
93;Ariel;Colorado;Avram;Janna;Rylee;5
94;Halee;Calista;Sharon;Yasir;Ariel;3
95;Leonard;Knox;Erin;Mary;Maris;4
96;Julian;Quon;Duncan;Clio;Harriet;15
97;Ray;Blythe;Alice;Lacy;Quincy;3
98;Stella;Branden;Audra;Destiny;Delilah;18
99;Colleen;Marvin;Zachary;Patrick;Clementine;6
100;Hayden;Maris;Stuart;Dai;Holly;5
